# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.0000000000e+00	(5.6471914845e+03 1.0227606893e+04 5.5789247515e-16)	(5.6471665296e+03 1.0227609693e+04 5.5795243902e-16)	(2.4954828254e-02 -2.7997917045e-03 -5.9963868862e-20)
2.0000000000e+00	(-1.7652464124e+03 -3.2110614385e+03 -1.7323185098e-16)	(-1.7651636669e+03 -3.2108724084e+03 -1.7287955994e-16)	(-8.2745490516e-02 -1.8903004559e-01 -3.5229103149e-19)
3.0000000000e+00	(5.2438174347e+02 9.6287691288e+02 5.5801994320e-17)	(5.2437576700e+02 9.6292575419e+02 5.0543320683e-17)	(5.9764776371e-03 -4.8841307569e-02 5.2586736372e-18)
4.0000000000e+00	(-1.8103811829e+02 -3.3135072561e+02 -1.9455815137e-17)	(-1.8104239833e+02 -3.3130315059e+02 -1.9376885085e-17)	(4.2800449128e-03 -4.7575018893e-02 -7.8930052748e-20)
5.0000000000e+00	(5.5913333403e+01 1.0305906778e+02 3.3599624327e-18)	(5.5898911860e+01 1.0308817622e+02 3.3757083078e-18)	(1.4421542959e-02 -2.9108433916e-02 -1.5745875101e-20)
6.0000000000e+00	(-2.0794490509e+01 -3.7668942296e+01 -2.0189511386e-18)	(-2.0811946568e+01 -3.7647143602e+01 -2.0562471302e-18)	(1.7456058691e-02 -2.1798694231e-02 3.7295991644e-20)
7.0000000000e+00	(4.9653283182e+00 9.4463130633e+00 -4.5641219150e-19)	(4.9452768885e+00 9.4626128797e+00 -4.4338417397e-19)	(2.0051429770e-02 -1.6299816434e-02 -1.3028017532e-20)
8.0000000000e+00	(-2.9642036551e+00 -5.1182659726e+00 -7.0452330845e-19)	(-2.9855183848e+00 -5.1050634809e+00 -7.0978238690e-19)	(2.1314729735e-02 -1.3202491736e-02 5.2590784490e-21)
9.0000000000e+00	(2.0964191302e-01 6.1984660771e-01 -5.6393866303e-19)	(1.8755382810e-01 6.3105730474e-01 -5.6210499465e-19)	(2.2088084923e-02 -1.1210697024e-02 -1.8336683839e-21)
1.0000000000e+01	(-5.0518845101e-01 -7.5852104721e-01 -5.2154750733e-19)	(-5.2766615804e-01 -7.4855307223e-01 -5.2237043887e-19)	(2.2477707031e-02 -9.9679749804e-03 8.2293154115e-22)
