# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.0000000000e+00	(-5.1138034465e+01 2.8235957422e+01 3.5942821447e+03)	(-5.1138048464e+01 2.8235832648e+01 3.5942814516e+03)	(1.3998958522e-05 1.2477414127e-04 6.9313799060e-04)
2.0000000000e+00	(1.6055307192e+01 -8.8262320621e+00 -1.1262186876e+03)	(1.6054362042e+01 -8.8258183346e+00 -1.1261515204e+03)	(9.4515022796e-04 -4.1372745258e-04 -6.7167207103e-02)
3.0000000000e+00	(-4.8143845644e+00 2.6219087174e+00 3.3807144021e+02)	(-4.8146287709e+00 2.6218788350e+00 3.3808675689e+02)	(2.4420653784e-04 2.9882388185e-05 -1.5316680885e-02)
4.0000000000e+00	(1.6567536281e+00 -9.0519059144e-01 -1.1617024839e+02)	(1.6565157530e+00 -9.0521199167e-01 -1.1615513906e+02)	(2.3787509447e-04 2.1400224564e-05 -1.5109331746e-02)
5.0000000000e+00	(-5.1529533892e-01 2.7956666701e-01 3.5867552811e+01)	(-5.1544088109e-01 2.7949455930e-01 3.5876087464e+01)	(1.4554216958e-04 7.2107714795e-05 -8.5346527180e-03)
6.0000000000e+00	(1.8834471148e-01 -1.0397245255e-01 -1.3270178279e+01)	(1.8823571801e-01 -1.0405973284e-01 -1.3264201067e+01)	(1.0899347115e-04 8.7280293453e-05 -5.9772115875e-03)
7.0000000000e+00	(-4.7231565316e-02 2.4826641591e-02 3.1246537618e+00)	(-4.7313064399e-02 2.4726384442e-02 3.1286687943e+00)	(8.1499082170e-05 1.0025714885e-04 -4.0150324763e-03)
8.0000000000e+00	(2.5591329863e-02 -1.4821018275e-02 -1.9143560047e+00)	(2.5525317404e-02 -1.4927591924e-02 -1.9114471868e+00)	(6.6012458682e-05 1.0657364868e-04 -2.9088179592e-03)
9.0000000000e+00	(-3.0992330386e-03 1.0482095651e-03 7.7758823255e-02)	(-3.1552865237e-03 9.3776914049e-04 7.9947270956e-02)	(5.6053485118e-05 1.1044042462e-04 -2.1884477016e-03)
1.0000000000e+01	(3.7926052360e-03 -2.5259422551e-03 -3.8212696791e-01)	(3.7427653611e-03 -2.6383307902e-03 -3.8037906773e-01)	(4.9839874902e-05 1.1238853516e-04 -1.7479001741e-03)
1.1000000000e+01	(-5.0016864109e-04 -1.4952031711e-04 -9.6557557947e-02)	(-5.4601676381e-04 -2.6261458657e-04 -9.5087723212e-02)	(4.5848122722e-05 1.1309426946e-04 -1.4698347349e-03)
1.2000000000e+01	(-5.8093585123e-04 -5.3985631302e-05 -9.0261189603e-02)	(-6.2425027735e-04 -1.6702477924e-04 -8.8963794610e-02)	(4.3314426113e-05 1.1303914794e-04 -1.2973949931e-03)
1.3000000000e+01	(-1.2862775458e-03 3.6988061131e-04 -4.3111675424e-02)	(-1.3280112627e-03 2.5740279339e-04 -4.1914741698e-02)	(4.1733716895e-05 1.1247781791e-04 -1.1969337262e-03)
