# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.0000000000e+00	(2.8271917404e+03 5.5879167659e+03 -4.8276616970e-16)	(2.8271660541e+03 5.5879183391e+03 -4.8275339505e-16)	(2.5686223932e-02 -1.5731584716e-03 -1.2774648919e-20)
2.0000000000e+00	(-8.7655789822e+02 -1.7497421029e+03 1.4725271935e-16)	(-8.7653123485e+02 -1.7496565999e+03 1.4679178519e-16)	(-2.6663364451e-02 -8.5503032640e-02 4.6093416120e-19)
3.0000000000e+00	(2.6346566671e+02 5.3851749552e+02 -4.0443319544e-17)	(2.6343893106e+02 5.3852984158e+02 -4.0026605584e-17)	(2.6735645843e-02 -1.2346055044e-02 -4.1671395994e-19)
4.0000000000e+00	(-8.7867820155e+01 -1.7781824850e+02 1.3825378320e-17)	(-8.7888309796e+01 -1.7779952944e+02 1.3881254780e-17)	(2.0489641323e-02 -1.8719059744e-02 -5.5876460103e-20)
5.0000000000e+00	(2.8608921863e+01 5.9653071829e+01 -4.4711572167e-18)	(2.8585208609e+01 5.9664553307e+01 -4.5104398701e-18)	(2.3713253972e-02 -1.1481477487e-02 3.9282653462e-20)
6.0000000000e+00	(-9.9667867914e+00 -2.0241084246e+01 1.4999371963e-18)	(-9.9908415590e+00 -2.0231844841e+01 1.5026124052e-18)	(2.4054767531e-02 -9.2394057137e-03 -2.6752088757e-21)
7.0000000000e+00	(3.0106729718e+00 6.2604746697e+00 -6.0911777187e-19)	(2.9859080918e+00 6.2675630610e+00 -6.1240084707e-19)	(2.4764879944e-02 -7.0883912397e-03 3.2830752013e-21)
8.0000000000e+00	(-1.1738027800e+00 -2.4405656945e+00 2.9121072404e-20)	(-1.1988441445e+00 -2.4346512903e+00 2.7328063698e-20)	(2.5041364536e-02 -5.9144041603e-03 1.7930087061e-21)
9.0000000000e+00	(3.5332702574e-01 6.5943638523e-01 -2.0768949100e-19)	(3.2812057657e-01 6.6456402446e-01 -2.0852468635e-19)	(2.5206449172e-02 -5.1276392293e-03 8.3519534582e-22)
1.0000000000e+01	(-6.4196000697e-02 -1.9471976968e-01 -1.4389671642e-19)	(-8.9435150056e-02 -1.9009897201e-01 -1.4413383401e-19)	(2.5239149359e-02 -4.6207976761e-03 2.3711759087e-22)
1.1000000000e+01	(1.3118504715e-01 1.3600893996e-01 -1.5942689643e-19)	(1.0600864038e-01 1.4028847310e-01 -1.5933517711e-19)	(2.5176406767e-02 -4.2795331445e-03 -9.1719317067e-23)
1.2000000000e+01	(1.1457470970e-01 1.0231446812e-01 -1.3943290555e-19)	(8.9545652727e-02 1.0635969550e-01 -1.3914976858e-19)	(2.5029056976e-02 -4.0452273728e-03 -2.8313696930e-22)
1.3000000000e+01	(1.5311199337e-01 1.9201889465e-01 -1.3050746538e-19)	(1.2827376974e-01 1.9590421565e-01 -1.2987082615e-19)	(2.4838223632e-02 -3.8853210043e-03 -6.3663922714e-22)
1.4000000000e+01	(1.6051043762e-01 2.3017925454e-01 -1.1556628796e-19)	(1.3589318243e-01 2.3395028774e-01 -1.1497506317e-19)	(2.4617255185e-02 -3.7710332004e-03 -5.9122479326e-22)
1.5000000000e+01	(1.7183616529e-01 2.6841567150e-01 -1.0289238142e-19)	(1.4745832575e-01 2.7209877811e-01 -1.0230974843e-19)	(2.4377839540e-02 -3.6831066039e-03 -5.8263299393e-22)
1.6000000000e+01	(1.7064150631e-01 2.7912959660e-01 -8.8442734982e-20)	(1.4651799504e-01 2.8274668781e-01 -8.7890409825e-20)	(2.4123511265e-02 -3.6170912079e-03 -5.5232515716e-22)
