# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.0000000000e+00	(-2.7939583830e+01 1.4135958702e+01 2.2140854784e+03)	(-2.7939591695e+01 1.4135830271e+01 2.2140855706e+03)	(7.8657923581e-06 1.2843111966e-04 -9.2175768743e-05)
2.0000000000e+00	(8.7487105145e+00 -4.3827894911e+00 -6.9074334951e+02)	(8.7482829993e+00 -4.3826561743e+00 -6.9070961446e+02)	(4.2751516320e-04 -1.3331682225e-04 -3.3735056120e-02)
3.0000000000e+00	(-2.6925874776e+00 1.3173283335e+00 2.1186697824e+02)	(-2.6926492079e+00 1.3171946553e+00 2.1187096264e+02)	(6.1730275221e-05 1.3367822921e-04 -3.9843983900e-03)
4.0000000000e+00	(8.8909124250e-01 -4.3933910078e-01 -6.9982277004e+01)	(8.8899764720e-01 -4.3944154898e-01 -6.9975650240e+01)	(9.3595298720e-05 1.0244820662e-04 -6.6267636644e-03)
5.0000000000e+00	(-2.9826535915e-01 1.4304460932e-01 2.3091891164e+01)	(-2.9832276653e-01 1.4292604305e-01 2.3095614840e+01)	(5.7407387437e-05 1.1856626986e-04 -3.7236754089e-03)
6.0000000000e+00	(1.0120542123e-01 -4.9833933957e-02 -7.9427732140e+00)	(1.0115922420e-01 -4.9954207795e-02 -7.9398224086e+00)	(4.6197028568e-05 1.2027383766e-04 -2.9508054520e-03)
7.0000000000e+00	(-3.1302373349e-02 1.5053364859e-02 2.3092653420e+00)	(-3.1337815305e-02 1.4929540459e-02 2.3114189100e+00)	(3.5441956199e-05 1.2382439972e-04 -2.1535680339e-03)
8.0000000000e+00	(1.2202828472e-02 -5.8690138998e-03 -1.0130237651e+00)	(1.2173256451e-02 -5.9942207224e-03 -1.0112954436e+00)	(2.9572020802e-05 1.2520682268e-04 -1.7283214482e-03)
9.0000000000e+00	(-3.2971819262e-03 1.7666351287e-03 1.7992311205e-01)	(-3.3228201223e-03 1.6406028829e-03 1.8136037660e-01)	(2.5638196146e-05 1.2603224586e-04 -1.4372645535e-03)
1.0000000000e+01	(9.7359884841e-04 -3.2098000349e-04 -1.4073982251e-01)	(9.5049486003e-04 -4.4717575028e-04 -1.3948826488e-01)	(2.3103988380e-05 1.2619574679e-04 -1.2515576260e-03)
